date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:45	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:44%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/panduan/bale/bale.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/panduan/bale/bale.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:45	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:44%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/dunia/update/	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/dunia/update/index.html	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:45	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:44%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/panduan/instalasi	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/panduan/instalasi	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:46	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:45%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/panduan/bermain	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/panduan/bermain	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:46	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:45%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/panduan/profesi	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/panduan/profesi	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:47	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:46%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/panduan/fitur/emotikon.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/panduan/fitur/emotikon.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:47	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:46%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/panduan/bale/bale.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/panduan/bale/bale.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:48	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:46%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/panduan/peta/peta_dunia.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/panduan/peta/peta_dunia.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:48	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:47%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/panduan/fitur/pet.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/panduan/fitur/pet.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:48	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:47%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/panduan/barang	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/panduan/barang	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:49	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:48%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/panduan/npc	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/panduan/npc	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
